Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF
Li7.2In1.2Ti10.8P18.0O72.0,167,8.544,8.544,20.948,90.0,90.0,120.0,0.00039,10.1149/1.2086597,No Match
Li7.2In1.2Ti10.8P18.0O72.0,167,8.55,8.55,20.96,90.0,90.0,120.0,8.22e-05,10.1021/cm030422i,No Match
Li8.4La2.4Ti9.6P18.0O72.0,167,8.5108,8.5108,20.8492,90.0,90.0,120.0,0.000498,10.1149/1.2086597,No Match
Li8.4In2.4Ti9.6P18.0O72.0,167,8.5626,8.5626,21.0066,90.0,90.0,120.0,0.000302,10.1149/1.2086597,No Match
Li7.8Al1.8Ti10.2P18.0O72.0,167,8.4941,8.4941,20.8586,90.0,90.0,120.0,0.0062,10.1016/j.ssi.2014.07.018,Close Match
Li6.6Al0.6Ti11.4P18.0O72.0,167,8.508,8.508,20.72,90.0,90.0,120.0,5e-06,10.1016/j.ssi.2014.07.018,No Match
Li6.6Al0.6Ti11.4P18.0O72.0,167,8.508,8.508,20.855,90.0,90.0,120.0,3e-05,10.1016/s0955-2219(99)00055-2,Close Match
Li9.6Al3.6Ge8.4P18.0O72.0,167,8.265,8.265,20.64,90.0,90.0,120.0,0.00014,10.1016/s0955-2219(99)00055-2,No Match
Li7.8Al1.8Ti10.2P18.0O72.0,167,8.5033,8.5033,20.8312,90.0,90.0,120.0,0.00121,10.1016/j.ssi.2014.07.018|10.1016/j.ssi.2016.07.010,Close Match
Li7.8Al1.8Ti10.2P18.0O72.0,167,8.498,8.498,20.896,90.0,90.0,120.0,3.75e-05,10.1016/S0955-2219(99)00055-2,Close Match
Li6.3Al0.3Ti11.7P18.0O72.0,167,8.5066,8.5066,20.9085,90.0,90.0,120.0,0.0011,10.1016/j.ssi.2014.07.018,No Match
Li6.0Ti12.0P18.0O72.0,167,8.509,8.509,20.853,90.0,90.0,120.0,3.83e-07,10.1021/jp973296c,Close Match
Li6.0Ti12.0P18.0O72.0,148,8.5112,8.5112,20.8479,90.0,90.0,120.0,0.000161,10.1021/ic400577v,Match
Li7.2Ti10.8Al1.2P18.0O72.0,148,8.502,8.502,20.818,90.0,90.0,120.0,0.00482,10.1021/ic400577v,Match
Li6.0Ti12.0P18.0O72.0,167,8.5135,8.5135,20.8705,90.0,90.0,120.0,7.2e-05,10.1007/s11164-013-1348-0,Close Match
Li6.9Fe0.9Ti11.1P18.0O72.0,167,8.5188,8.5188,20.8472,90.0,90.0,120.0,0.000522,10.1007/s11164-013-1348-0,No Match
Li6.6Sc0.6Ti11.4P18.0O72.0,167,8.522,8.522,20.889,90.0,90.0,120.0,0.000158,10.1016/0167-2738(86)90179-7,No Match
Li7.2In1.2Hf10.8P18.0O72.0,167,8.815,8.815,21.954,90.0,90.0,120.0,4e-06,10.1016/0167-2738(86)90179-7,No Match
Li7.8In1.8Hf10.2P18.0O72.0,167,8.84,8.84,21.995,90.0,90.0,120.0,0.000142,10.1016/0167-2738(93)90387-i,No Match
Li7.8Cr1.8Hf10.2P18.0O72.0,167,8.798,8.798,21.929,90.0,90.0,120.0,5.26e-07,10.1016/0167-2738(93)90387-i,No Match
Li6.6Lu0.6Hf11.4P18.0O72.0,167,8.839,8.839,22.046,90.0,90.0,120.0,5.88e-05,10.1016/0167-2738(93)90387-i,No Match
Li6.6Sc0.6Hf11.4P18.0O72.0,167,8.837,8.837,21.965,90.0,90.0,120.0,2.45e-05,10.1016/0167-2738(93)90387-i,No Match
Li7.8Y1.8Hf10.2P18.0O72.0,167,8.835,8.835,21.957,90.0,90.0,120.0,3.19e-05,10.1016/0167-2738(93)90387-i,No Match
Li6.0Hf12.0P18.0O72.0,167,8.809,8.809,21.98,90.0,90.0,120.0,6.85e-07,10.1016/0167-2738(93)90387-i,No Match
Li6.0Hf12.0P18.0O72.0,167,8.824,8.824,22.04,90.0,90.0,120.0,2.83e-07,10.1002/chin.199345017,No Match
Li6.0Ge12.0P18.0O72.0,167,8.287,8.287,20.475,90.0,90.0,120.0,3.33e-07,10.1002/chin.199345017,Close Match
Li8.4In2.4Hf9.6P18.0O72.0,167,8.836,8.836,21.926,90.0,90.0,120.0,0.000142,10.1016/0167-2738(93)90387-i,No Match
Li8.4Lu2.4Hf9.6P18.0O72.0,167,8.877,8.877,21.946,90.0,90.0,120.0,2.06e-05,10.1016/0167-2738(93)90387-i,No Match
Li7.8Lu1.8Hf10.2P18.0O72.0,167,8.843,8.843,21.995,90.0,90.0,120.0,3.56e-05,10.1016/0167-2738(93)90387-i,No Match
Li6.6In0.6Hf11.4P18.0O72.0,167,8.831,8.831,22.036,90.0,90.0,120.0,5.13e-05,10.1016/0167-2738(93)90387-i,No Match
Li7.8Sc1.8Hf10.2P18.0O72.0,167,8.857,8.857,21.995,90.0,90.0,120.0,8.32e-05,10.1016/0167-2738(93)90387-i,No Match
Li8.4Y2.4Hf9.6P18.0O72.0,167,8.863,8.863,21.91,90.0,90.0,120.0,2.09e-05,10.1016/0167-2738(93)90387-i,No Match
Li7.8Fe1.8Hf10.2P18.0O72.0,167,8.809,8.809,21.889,90.0,90.0,120.0,5.4e-05,10.1016/0167-2738(93)90387-i,No Match
Li6.6Fe0.6Hf11.4P18.0O72.0,167,8.822,8.822,21.997,90.0,90.0,120.0,0.000107,10.1016/0167-2738(93)90387-i,No Match
Li7.2Lu1.2Hf10.8P18.0O72.0,167,8.836,8.836,21.997,90.0,90.0,120.0,9.79e-05,10.1016/0167-2738(93)90387-i,No Match
Li7.8Al0.9Sc0.9Ti10.2P18.0O72.0,167,8.5244,8.5244,20.9553,90.0,90.0,120.0,0.00124,10.1016/j.ssi.2012.03.045,No Match
Li7.8Al1.2Sc0.6Ti10.2P18.0O72.0,167,8.5169,8.5169,20.916,90.0,90.0,120.0,0.000972,10.1016/j.ssi.2012.03.045,No Match
Li7.8Al1.2Sc0.6Ti10.2P18.0O72.0,167,8.5216,8.5216,20.917,90.0,90.0,120.0,0.000269,10.1007/s10008-012-1780-x,No Match
Li7.8Al0.6Sc1.2Ti10.2P18.0O72.0,167,8.5244,8.5244,20.925,90.0,90.0,120.0,0.000426,10.1007/s10008-012-1780-x,No Match
Li9.0Al3.0Ti9.0P18.0O72.0,167,8.485,8.485,20.79,90.0,90.0,120.0,1.1e-05,10.1021/cm010528i,No Match
Li7.2Al1.2Ge10.8P18.0O72.0,167,8.2619,8.2619,20.5656,90.0,90.0,120.0,4.83e-05,10.1021/acsami.8b00842,Match
Li10.2Al4.2Ge7.8P18.0O72.0,167,8.25247,8.25247,20.6936,90.0,90.0,120.0,0.000264,10.1021/acsami.8b00842,Match
Li12.0N8.0H16.0I4.0,186,7.09109,7.09109,11.5096,90.0,90.0,120.0,1e-05,10.1021/cm1006857,Match
Li8.0V8.0O24.0,15,10.1597,8.4155,5.8843,90.0,110.505,90.0,2.05e-09,10.1006/jssc.2000.9009,Match
Li9.2Si0.8Al1.2S8.0,11,6.858,7.82,6.217,90.0,89.947,90.0,1.46e-08,10.1006/jssc.2002.9701,No Match
Li91.2Si19.2P4.8S96.0,11,13.7707,23.304,12.1962,90.0,91.168,90.0,8.11e-07,10.1006/jssc.2002.9701,No Match
Li81.6Si9.6P14.4S96.0,11,13.3678,23.6448,12.2154,90.0,90.134,90.0,0.000662,10.1006/jssc.2002.9701,No Match
Li86.4Si14.4P9.6S96.0,11,13.6233,23.4044,12.2258,90.0,90.133,90.0,7.19e-05,10.1006/jssc.2002.9701,No Match
Li8.4Si1.6Al0.4S8.0,11,6.903,7.787,6.125,90.0,90.877,90.0,2.4e-08,10.1006/jssc.2002.9701,No Match
Li9.6Si0.4Al1.6S8.0,11,6.843,7.833,6.235,90.0,89.846,90.0,2.29e-07,10.1006/jssc.2002.9701,No Match
Li8.8Si1.2Al0.8S8.0,11,6.862,7.81,6.113,90.0,90.23,90.0,3.05e-08,10.1006/jssc.2002.9701,No Match
Li8.0Si2.0S8.0,11,6.8934,7.7675,6.1241,90.0,91.225,90.0,1.59e-08,10.1006/jssc.2002.9701,Match
Li76.8Si4.8P19.2S96.0,11,13.0804,24.1028,12.2338,90.0,90.03,90.0,3.2e-06,10.1006/jssc.2002.9701,No Match
Li56.48La24.0Y0.48Zr15.52O96.0,230,12.9672,12.9672,12.9672,90.0,90.0,90.0,0.00081,10.1016/j.elecom.2011.08.014,No Match
Li7.0Sb1.0O6.0,2,5.4307,5.8916,5.385,116.748,119.63,62.779,6.7e-08,10.1021/ic030208w,Match
Li7.0Bi1.0O6.0,2,5.5071,6.0425,5.5231,116.912,120.867,62.234,8.8e-07,10.1021/ic030208w,Match
Li8.0Ga16.0Ge8.0S48.0,43,11.943,22.59,6.805,90.0,90.0,90.0,3.8e-08,10.1016/j.ssi.2014.04.015,No Match
Li32.0B56.0O96.0Cl8.0,219,12.167,12.167,12.167,90.0,90.0,90.0,2e-06,10.1107/s0567740877009443,Match
Li17.0Sb13.0S28.0,12,12.7298,11.5837,9.2251,90.0,119.55,90.0,1.05e-09,10.1002/chem.201502052,Match
Li6.0P0.4V1.6O8.0,31,6.282,5.4021,4.9289,90.0,90.0,90.0,1.31e-13,10.1021/acs.chemmater.8b01504,No Match
Li12.0P4.0O16.0,62,10.4772,6.1179,4.9297,90.0,90.0,90.0,1.75e-13,10.1021/acs.chemmater.8b01504,Close Match
Li12.0P4.0O16.0,62,6.1113,10.4612,4.9208,90.0,90.0,90.0,4.2e-18,10.1006/jssc.1995.1140,Match
Li11.52P4.0O14.92N0.56,62,6.1153,10.469,4.9195,90.0,90.0,90.0,1.4e-13,10.1006/jssc.1995.1140,Match
Li12.8Ge0.8V3.2O16.0,62,10.8685,6.2984,5.1017,90.0,90.0,90.0,1.9e-05,10.1021/acs.chemmater.8b01504,No Match
Li14.4Ge2.4P1.6O16.0,62,10.7284,6.1866,5.0882,90.0,90.0,90.0,1.1e-05,10.1021/acs.chemmater.8b01504,No Match
Li15.2Ge3.2V0.8O16.0,62,10.8891,6.2315,5.1518,90.0,90.0,90.0,2.71e-06,10.1021/acs.chemmater.8b01504,No Match
Li13.6Ge1.6P2.4O16.0,62,10.6305,6.1639,5.0266,90.0,90.0,90.0,4.5e-06,10.1021/acs.chemmater.8b01504,No Match
Li15.2Ge3.2P0.8O16.0,62,10.8096,6.1767,5.1421,90.0,90.0,90.0,1.03e-06,10.1021/acs.chemmater.8b01504,No Match
Li12.8Ge0.8P3.2O16.0,62,10.5562,6.1319,4.9769,90.0,90.0,90.0,1.14e-06,10.1021/acs.chemmater.8b01504,No Match
Li12.0P3.2V0.8O16.0,62,10.554,6.1486,4.9492,90.0,90.0,90.0,2.05e-13,10.1021/acs.chemmater.8b01504,No Match
Li12.0P1.6V2.4O16.0,62,10.7651,6.2647,4.9262,90.0,90.0,90.0,3.55e-13,10.1021/acs.chemmater.8b01504,No Match
Li12.0P2.4V1.6O16.0,62,10.6467,6.2052,4.9763,90.0,90.0,90.0,3.2e-13,10.1021/acs.chemmater.8b01504,No Match
Li6.0V2.0O8.0,31,6.3278,5.4448,4.9467,90.0,90.0,90.0,9.2e-14,10.1021/acs.chemmater.8b01504,Close Match
Li14.4Ge2.4V1.6O16.0,62,10.8786,6.26,5.1371,90.0,90.0,90.0,3.19e-05,10.1021/acs.chemmater.8b01504,No Match
Li16.0Ge4.0O16.0,63,7.7661,7.3645,6.0555,90.0,90.0,90.0,1.3e-12,10.1021/acs.chemmater.8b01504,Close Match
Li13.6Ge1.6V2.4O16.0,62,10.8697,6.2784,5.1181,90.0,90.0,90.0,8.89e-07,10.1021/acs.chemmater.8b01504,No Match
Li6.0Zr12.0P18.0O72.0,167,8.847,8.847,22.24,90.0,90.0,120.0,1e-09,10.1016/0025-5408(86)90194-7,Match
Li24.0Nd24.0Te16.0O96.0,230,12.5625,12.5625,12.5625,90.0,90.0,90.0,1e-15,10.1021/cm060992t,No Match
Li2.0V2.0P2.0O8.0F2.0,2,5.3115,7.2617,5.1744,107.934,98.444,107.547,8.1e-07,10.1016/j.ssi.2013.04.002,Match
Li8.0Ce8.0B24.0H96.0Cl8.0,217,11.72,11.72,11.72,90.0,90.0,90.0,0.000103,10.1021/cm300792t,Match
Li6.0N2.0,194,3.552,3.552,6.311,90.0,90.0,120.0,0.0002085,10.1016/0167-2738(83)90045-0,Match
Li12.0Sb4.0S12.0,33,7.9671,6.7883,10.0912,90.0,90.0,90.0,1e-09,10.1002/zaac.201200277,Match
Li2.0Ce1.0Pr1.0Mo4.0O16.0,88,5.284,5.284,11.5763,90.0,90.0,90.0,1e-09,10.1007/s12039-011-0068-5,Match
Li2.0Ce2.0Mo4.0O16.0,88,5.2943,5.2943,11.6254,90.0,90.0,90.0,1.3e-08,10.1007/s12039-011-0068-5,Match
Li2.0Ce1.0Sm1.0Mo4.0O16.0,88,5.2546,5.2546,11.5052,90.0,90.0,90.0,1.8e-10,10.1007/s12039-011-0068-5,Match
Li8.0Mg4.0Br16.0,65,7.771,11.04,7.735,90.0,90.0,90.0,7.8e-10,10.1002/chin.198639014|10.1149/1.2108704,No Match
Li18.0Mg6.0P8.0O32.0F6.0,173,12.6159,12.6159,5.0082,90.0,90.0,120.0,1e-15,10.1039/c3ta15264b,Match
Li4.8Sn4.8S12.0,12,19.217,3.6996,6.529,90.0,109.056,90.0,0.00012,10.1039/c6ee00633g,Match
Li0.76La2.68Ti3.6Co0.4O12.0,225,7.7722,7.7722,7.7722,90.0,90.0,90.0,0.000108,10.1016/j.mseb.2004.07.003,Match
Li0.31La0.63Ti0.9Co0.1O3.0,221,3.8845,3.8845,3.8845,90.0,90.0,90.0,0.00026,10.1016/j.mseb.2004.07.003,Match
Li12.0Er4.0I24.0,15,7.413,12.836,14.2,90.0,100.01,90.0,0.00065,10.1021/acsaem.0c00147,Match
Li5.16Hf12.21P18.0O72.0,167,8.8306,8.8306,22.027,90.0,90.0,120.0,9.2e-08,10.1021/cm970078n,Match
Li5.46Hf12.13P18.0O72.0,167,8.8306,8.8306,22.027,90.0,90.0,120.0,3.2e-07,10.1021/cm970078n,Match
Li4.0B24.0O36.0F4.0,33,7.65545,8.53175,10.7894,90.0,90.0,90.0,1e-15,10.1002/zaac.200900056,Match
Li18.0Al6.0H36.0,148,8.07117,8.07117,9.513,90.0,90.0,120.0,1.4e-07,10.1063/1.3356981,Match
Li4.0Al4.0H16.0,14,4.8254,7.804,7.8968,90.0,112.268,90.0,8.7e-09,10.1063/1.3356981,Match
Li6.0P2.0,194,4.273,4.273,7.594,90.0,90.0,120.0,0.000703,10.1016/0167-2738(89)90438-4,Match
Li56.0La24.0Zr15.12Al1.2O96.0,230,13.0,13.0,13.0,90.0,90.0,90.0,0.00034,10.1016/j.jpowsour.2013.03.049,No Match
Li24.0Si4.0O16.0Cl8.0,33,10.5204,6.0756,9.953,90.0,90.0,90.0,1e-10,10.1021/acs.chemmater.1c00157,Match
Li10.0Al2.0S8.0,11,6.8583,7.8369,6.2488,90.0,90.333,90.0,1.4e-09,10.1016/j.jssc.2017.09.018,Match
La0.51Li0.34Ti1.0O2.94,221,3.871,3.871,3.871,90.0,90.0,90.0,0.001,10.1016/0167-2738(94)90309-3,No Match
Li40.0Ga8.0O32.0,61,9.173,9.094,9.202,90.0,90.0,90.0,5e-09,10.1016/0025-5408(76)90169-0,Match
Li40.0Al8.0O32.0,61,9.08,8.94,9.13,90.0,90.0,90.0,5e-10,10.1016/0025-5408(76)90169-0,Close Match
Li6.0Ti3.6Sn8.4P18.0O72.0,167,8.5983,8.5983,21.2868,90.0,90.0,120.0,9.42e-06,10.1016/j.physb.2011.11.006,Match
Li6.0Ti8.4Sn3.6P18.0O72.0,167,8.5491,8.5491,21.0473,90.0,90.0,120.0,2.28e-05,10.1016/j.physb.2011.11.006,Match
Li6.0Ti2.4Sn9.6P18.0O72.0,167,8.6121,8.6121,21.3574,90.0,90.0,120.0,3.15e-06,10.1016/j.physb.2011.11.006,Match
La1.0Li1.0Ti2.0O6.0,123,3.8688,3.86885,7.7462,90.0,90.0,90.0,0.000925,10.1016/s0167-2738(00)00761-x,Match
La1.19Li0.43Ti2.0O6.0,47,3.8671,3.8654,7.7727,90.0,90.0,90.0,0.000853,10.1016/s0167-2738(00)00761-x,Match
La1.24Li0.28Ti2.0O6.0,47,3.8757,3.8655,7.7845,90.0,90.0,90.0,0.000442,10.1016/s0167-2738(00)00761-x,Match
La1.13Li0.61Ti2.0O6.0,123,3.8727,3.8727,7.751,90.0,90.0,90.0,0.000957,10.1016/s0167-2738(00)00761-x,Match
La1.28Li0.16Ti2.0O6.0,47,3.8753,3.8638,7.7901,90.0,90.0,90.0,0.000335,10.1016/s0167-2738(00)00761-x,Match
Li4.0B4.0O8.0,14,5.845,4.353,6.454,90.0,115.09,90.0,1e-08,10.1140/epjst/e2008-00753-4,Match
Li56.0La24.0Ta16.0O104.0,230,12.82,12.82,12.82,90.0,90.0,90.0,2.65e-06,10.1016/j.ssi.2009.07.002,No Match
Li8.0Sr8.0Al4.0P12.0O48.0,14,4.945,22.088,8.632,90.0,91.47,90.0,1e-15,10.1016/j.jssc.2016.08.006,Match
Li16.0Sn4.0S16.0,62,13.812,7.9624,6.367,90.0,90.0,90.0,7e-05,10.1021/cm3011315,Match
Li7.8Al1.2Y0.6Ti10.2P18.0O72.0,167,8.5054,8.5054,20.8247,90.0,90.0,120.0,0.00012,10.1016/j.ssi.2012.05.011,No Match
Li7.8Al0.9Y0.9Ti10.2P18.0O72.0,167,8.5069,8.5069,20.8226,90.0,90.0,120.0,1.9e-05,10.1016/j.ssi.2012.05.011,No Match
Li7.8Al0.6Y1.2Ti10.2P18.0O72.0,167,8.5109,8.5109,20.8372,90.0,90.0,120.0,7.3e-05,10.1016/j.ssi.2012.05.011,No Match
Li6.0Cu1.0B4.0O10.0,2,3.31218,6.68272,9.27858,78.8443,89.7596,86.6143,1e-13,10.1021/acs.inorgchem.8b01785,Match
Li7.22Si1.5P0.5O8.0,11,5.10536,6.11225,5.29671,90.0,90.3692,90.0,1.64e-07,10.1021/jacs.5b04444,Match
Li13.0O16.0P3.0Si1.0,62,10.5259,6.11525,4.97031,90.0,90.0,90.0,4.49e-07,10.1021/jacs.5b04444,Match
Li10.0Y2.0Zr2.0Cl24.0,62,12.0389,11.1664,6.4069,90.0,90.0,90.0,0.0014,10.1021/acsenergylett.9b02599,No Match
Li64.0Ge8.0P32.0,218,11.7831,11.7831,11.7831,90.0,90.0,90.0,8.6e-05,10.1021/acs.chemmater.8b02759,Match
Li64.0Ge8.0P32.0,205,11.802,11.802,11.802,90.0,90.0,90.0,1.8e-05,10.1021/acs.chemmater.8b02759,Match
Li64.0Si8.0P32.0,205,11.7074,11.7074,11.7074,90.0,90.0,90.0,4.5e-05,10.1021/acs.chemmater.8b02759,Match
Li44.0La22.0K2.0Nb16.0O96.0,199,12.7937,12.7937,12.7937,90.0,90.0,90.0,1.06e-05,10.1016/j.jssc.2005.12.025,No Match
Li44.0La24.0Nb14.0In2.0O96.0,199,12.821,12.821,12.821,90.0,90.0,90.0,2.4e-05,10.1016/j.jssc.2005.12.025,No Match
Li6.0Sb2.0S8.0,31,7.9645,6.8404,6.3774,90.0,90.0,90.0,4.8e-09,10.1016/j.ssi.2019.01.017,Match
K0.4Li3.6Sb4.0O12.0,201,9.681,9.681,9.681,90.0,90.0,90.0,1.36e-08,10.1016/0167-2738(81)90178-8,Match
Li8.8Al0.8Sn1.2S8.0,164,8.0184,8.0184,6.2856,90.0,90.0,120.0,4.3e-06,10.1021/acs.chemmater.8b03175,Match
Li8.8Al0.8Ge1.2S8.0,164,7.9496,7.9496,6.1566,90.0,90.0,120.0,4.3e-05,10.1021/acs.chemmater.8b03175,Match
Li16.0Ge4.0S16.0,62,14.07,7.75,6.15,90.0,90.0,90.0,2e-07,10.1016/s0167-2738(00)00277-0,Match
Li2.0La2.0Nb4.0O14.0,139,3.8798,3.8798,20.3597,90.0,90.0,90.0,1e-15,10.1016/0925-8388(93)90192-p,Match
Li20.0Si2.0P4.0S24.0,137,8.6512,8.6512,12.5095,90.0,90.0,90.0,0.0023,10.1149/2.0501412jes,No Match
Li16.0Ba8.0P16.0O56.0,15,7.147,12.283,14.016,90.0,90.49,90.0,1.59881e-17,10.1007/s11581-014-1261-6,Match
Pb6.12Ca1.9Li1.96P6.0O24.0,176,9.679,9.679,7.113,90.0,90.0,120.0,1e-15,10.1006/jssc.2002.9596,Match
Li24.0Zr8.0O28.0,15,10.44,5.991,10.204,90.0,100.25,90.0,5.2e-10,10.3103/s1062873810050199,Match
Li9.6Al3.6Ge4.8P18.0Ti3.6O72.0,167,8.383,8.383,20.637,90.0,90.0,120.0,0.0007,10.1021/cm021717j,No Match
Li4.0Gd4.0P16.0O48.0,15,16.386,7.059,9.677,90.0,126.12,90.0,1e-15,10.1016/j.jssc.2006.06.003,Match
Li16.0Sn8.0S24.0,15,6.3964,11.0864,12.4048,90.0,99.867,90.0,1.5e-05,10.1021/cm5037524,Match
Li12.0Na20.0Ti8.0S32.0,15,17.5783,9.6404,12.0796,90.0,133.405,90.0,8.8e-06,10.1016/j.jssc.2008.01.023,Match
Li26.0P2.0Si2.0S20.0Br4.0,216,10.0521,10.0521,10.0521,90.0,90.0,90.0,0.00219,10.1039/c7ta08581h,Match
Li24.5P3.5Si0.5S20.0Br4.0,216,10.0098,10.0098,10.0098,90.0,90.0,90.0,0.000902,10.1039/c7ta08581h,Match
Li24.3P3.7Si0.3S20.0Br4.0,216,9.9938,9.9938,9.9938,90.0,90.0,90.0,0.000873,10.1039/c7ta08581h,Match
Li25.2P2.8Si1.2S20.0Br4.0,216,10.0521,10.0521,10.0521,90.0,90.0,90.0,0.00165,10.1039/c7ta08581h,Match
Li25.4P2.6Si1.4S20.0Br4.0,216,10.0468,10.0468,10.0468,90.0,90.0,90.0,0.00234,10.1039/c7ta08581h,Match
Li24.7P3.3Si0.7S20.0Br4.0,216,10.0193,10.0193,10.0193,90.0,90.0,90.0,0.000931,10.1039/c7ta08581h,Match
Li24.2P3.8Si0.2S20.0Br4.0,216,9.9871,9.9871,9.9871,90.0,90.0,90.0,0.000437,10.1039/c7ta08581h,Match
Li24.8P3.2Si0.8S20.0Br4.0,216,10.024,10.024,10.024,90.0,90.0,90.0,0.00169,10.1039/c7ta08581h,Match
Li24.9P3.1Si0.9S20.0Br4.0,216,10.0315,10.0315,10.0315,90.0,90.0,90.0,0.00108,10.1039/c7ta08581h,Match
Li25.0P3.0Si1.0S20.0Br4.0,216,10.0365,10.0365,10.0365,90.0,90.0,90.0,0.00141,10.1039/c7ta08581h,Match
Li24.0P4.0S20.0Br4.0,216,9.9773,9.9773,9.9773,90.0,90.0,90.0,0.000701,10.1039/c7ta08581h,Match
Li24.0P4.0S20.0Br4.0,216,9.988,9.988,9.988,90.0,90.0,90.0,0.00277,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S18.4Se1.6Br4.0,216,10.0079,10.0079,10.0079,90.0,90.0,90.0,0.00364,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S19.2Se0.8Br4.0,216,9.9946,9.9946,9.9946,90.0,90.0,90.0,0.00392,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S17.6Se2.4Br4.0,216,10.0259,10.0259,10.0259,90.0,90.0,90.0,0.00278,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S18.8Se1.2Br4.0,216,9.9974,9.9974,9.9974,90.0,90.0,90.0,0.00362,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S17.2Se2.8Br4.0,216,10.0265,10.0265,10.0265,90.0,90.0,90.0,0.00301,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S16.8Se3.2Br4.0,216,10.0332,10.0332,10.0332,90.0,90.0,90.0,0.00348,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S16.0Se4.0Br4.0,216,10.0522,10.0522,10.0522,90.0,90.0,90.0,0.00361,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S16.4Se3.6Br4.0,216,10.0418,10.0418,10.0418,90.0,90.0,90.0,0.00382,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S19.6Se0.4Br4.0,216,9.9902,9.9902,9.9902,90.0,90.0,90.0,0.0032,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S18.0Se2.0Br4.0,216,10.0176,10.0176,10.0176,90.0,90.0,90.0,0.00268,10.1021/acs.inorgchem.8b02443,Match
Li24.0P4.0S20.0Br4.0,216,9.98,9.98,9.98,90.0,90.0,90.0,3.2e-05,10.1002/pssa.201001117,Close Match
Li24.0P4.0S20.0I4.0,216,10.142,10.142,10.142,90.0,90.0,90.0,0.00022,10.1002/pssa.201001117,Close Match
Li24.0P4.0S20.0I4.0,216,10.181,10.181,10.181,90.0,90.0,90.0,1.3e-06,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Br1.0I3.0,216,10.1108,10.1108,10.1108,90.0,90.0,90.0,4.72e-06,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Br3.0I1.0,216,10.0336,10.0336,10.0336,90.0,90.0,90.0,0.000112,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Cl1.0Br3.0,216,9.953,9.953,9.953,90.0,90.0,90.0,0.00186,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Cl2.0Br2.0,216,9.952,9.952,9.952,90.0,90.0,90.0,0.00333,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Br2.0I2.0,216,10.109,10.109,10.109,90.0,90.0,90.0,2.62e-05,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Cl3.0Br1.0,216,9.8911,9.8911,9.8911,90.0,90.0,90.0,0.00226,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Br4.0,216,10.02,10.02,10.02,90.0,90.0,90.0,0.00115,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Cl4.0,216,9.898,9.898,9.898,90.0,90.0,90.0,0.00205,10.1021/jacs.7b06327,Match
Li24.0P4.0S20.0Cl4.0,216,9.8397,9.8397,9.8397,90.0,90.0,90.0,0.0013,10.1016/j.ssi.2012.06.008,No Match
Li24.0P4.0S20.0Cl4.0,216,9.85,9.85,9.85,90.0,90.0,90.0,3.3e-05,10.1002/pssa.201001117,Close Match
Li24.0P4.0S20.0I4.0,216,10.1452,10.1452,10.1452,90.0,90.0,90.0,1.26e-06,10.1021/jacs.8b10282,Close Match
Li25.6P2.4Ge1.6S20.0I4.0,216,10.2297,10.2297,10.2297,90.0,90.0,90.0,0.0015,10.1021/jacs.8b10282,No Match
Li25.0P3.0Ge1.0S20.0I4.0,216,10.1931,10.1931,10.1931,90.0,90.0,90.0,0.00015,10.1021/jacs.8b10282,No Match
Li26.8P1.2Ge2.8S20.0I4.0,216,10.2851,10.2851,10.2851,90.0,90.0,90.0,0.00554,10.1021/jacs.8b10282,Match
Li27.2P0.8Ge3.2S20.0I4.0,216,10.2998,10.2998,10.2998,90.0,90.0,90.0,0.00258,10.1021/jacs.8b10282,Match
Li24.8P3.2Ge0.8S20.0I4.0,216,10.1847,10.1847,10.1847,90.0,90.0,90.0,3.19e-05,10.1021/jacs.8b10282,No Match
Li24.4P3.6Ge0.4S20.0I4.0,216,10.1669,10.1669,10.1669,90.0,90.0,90.0,8.86e-06,10.1021/jacs.8b10282,No Match
Li24.6P3.4Ge0.6S20.0I4.0,216,10.1805,10.1805,10.1805,90.0,90.0,90.0,3.93e-05,10.1021/jacs.8b10282,No Match
Li26.4P1.6Ge2.4S20.0I4.0,216,10.2431,10.2431,10.2431,90.0,90.0,90.0,0.00521,10.1021/jacs.8b10282,Close Match
