,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),paper
207,Li18.8Ba0.6Ge2.0P4.0S24.0,137,8.734,8.734,13.005,90,90,90,0.000707,10.1016/j.ssi.2017.01.014
208,Li18.4Ba0.8Ge2.0P4.0S24.0,137,8.752,8.752,13.011,90,90,90,0.000316,10.1016/j.ssi.2017.01.014
209,Li18.0Ba1.0Ge2.0P4.0S24.0,137,8.77,8.77,13.053,90,90,90,9.98e-05,10.1016/j.ssi.2017.01.014
210,Li19.2P6.0S24.0,137,8.7144,8.7144,12.4677,90,90,90,0.0012,10.1038/nenergy.2016.30
211,Li14.0Ge2.0P2.0S16.0,137,8.718,8.718,12.66,90,90,90,0.007,10.1039/c3ee41728j
212,Li19.08Si3.48P2.88S23.4Cl0.6,137,8.709652,8.709652,12.56907,90,90,90,0.025,10.1038/nenergy.2016.30
213,Li20.7Si2.7P3.3S24.0,137,8.68385,8.68385,12.55589,90,90,90,0.0065,10.1107/s2052520615022283
214,Li2.0La2.0Nb4.0O14.0,139,3.8798,3.8798,20.3597,90,90,90,1e-15,10.1016/0925-8388(93)90192-p
215,Li4.0Sr3.0Nb5.77Fe0.23O19.77,139,3.9585,3.9585,25.915,90,90,90,1e-15,10.1021/cm980736j
216,Li4.0Sr3.0Nb6.0O20.0,139,3.953,3.953,26.041,90,90,90,1e-15,10.1021/cm980736j
217,Li4.0Sc4.0O8.0,141,4.1791,4.1791,9.361,90,90,90,1e-15,10.1016/0167-2738(81)90021-7
218,Li3.6Sc3.6Zr0.4O8.0,141,4.1804,4.1804,9.4186,90,90,90,1e-15,10.2320/matertrans.y-m2016816
219,Li56.0La24.0Hf16.0O96.0,142,13.106,13.106,12.63,90,90,90,9.85e-07,10.1007/s11581-010-0486-2
220,Li56.0La24.0Zr16.0O96.0,142,13.134,13.134,12.663,90,90,90,1.63e-06,10.1016/j.jssc.2009.05.020
221,Li18.0Ga9.0Al9.0Ge18.0O72.0,146,9.257,9.256,13.867,90,90,120,1e-15,10.1149/2.1111610jes
222,Li18.0Al18.0Ge18.0O72.0,146,9.195,9.195,13.772,90,90,120,1e-15,10.1149/2.1111610jes
223,Li18.0Ga18.0Ge18.0O72.0,148,9.302,9.302,13.941,90,90,120,1e-15,10.1149/2.1111610jes
224,Li6.0Ti12.0P18.0O72.0,148,8.5112,8.5112,20.8479,90,90,120,0.000161,10.1021/ic400577v
225,Li7.2Ti10.8Al1.2P18.0O72.0,148,8.502,8.502,20.818,90,90,120,0.00482,10.1021/ic400577v
226,Li18.0Al6.0H36.0,148,8.07117,8.07117,9.513,90,90,120,1.40e-07,10.1063/1.3356981
227,Li3.33Mg0.33P2.0S6.0,162,6.0748,6.0748,6.5954,90,90,120,8.20e-08,10.1016/s0167-2738(02)00007-3
228,Li2.67Mg0.67P2.0S6.0,162,6.0831,6.0831,6.5863,90,90,120,4.00e-06,10.1016/s0167-2738(02)00007-3
229,Li4.0P2.0S6.0,162,6.075,6.075,6.595,90,90,120,2.38e-07,10.1016/j.ssi.2015.10.015
230,Li4.0P2.0S6.0,162,6.0773,6.0773,6.5985,90,90,120,1.60e-10,10.1016/j.ssi.2015.10.015
231,Li9.0Y3.0Cl18.0,164,11.2217,11.2217,6.05517,90,90,120,0.000539,10.1002/adma.201803075
232,Li8.8Al0.8Ge1.2S8.0,164,7.9496,7.9496,6.1566,90,90,120,4.30e-05,10.1021/acs.chemmater.8b03175.s003
233,Li8.8Al0.8Sn1.2S8.0,164,8.0184,8.0184,6.2856,90,90,120,4.30e-06,10.1021/acs.chemmater.8b03175.s003
234,Li6.0Zr12.0P18.0O72.0,167,8.847,8.847,22.24,90,90,120,1.00e-09,10.1002/chin.199345017
235,Li7.2Ti10.8Sc1.2P18.0O72.0,167,8.527,8.527,20.924,90,90,120,9.98e-05,10.1021/acs.inorgchem.6b02274
236,Li6.0Hf12.0P18.0O72.0,167,8.824,8.824,22.04,90,90,120,2.83e-07,10.1002/chin.199345017
237,Li6.0Ge12.0P18.0O72.0,167,8.287,8.287,20.475,90,90,120,3.33e-07,10.1002/chin.199345017
238,Li6.0Ti12.0P18.0O72.0,167,8.512,8.512,20.858,90,90,120,2.00e-06,10.1021/ic400577v
239,Li7.2Ti10.8Sc1.2P18.0O72.0,167,8.527,8.527,20.924,90,90,120,0.00251,10.1021/acs.inorgchem.6b02274
240,Li6.0Ge12.0P18.0O72.0,167,8.27059,8.27059,20.4652,90,90,120,4.83e-09,10.1002/chin.199345017
241,Li7.2Al1.2Ge10.8P18.0O72.0,167,8.2619,8.2619,20.5656,90,90,120,4.83e-05,10.1021/acsami.8b00842
242,Li8.4Al2.4Ge9.6P18.0O72.0,167,8.25565,8.25565,20.6319,90,90,120,0.000188,10.1021/acsami.8b00842
243,Li9.0Al3.0Ge9.0P18.0O72.0,167,8.25658,8.25658,20.6523,90,90,120,0.000336,10.1021/acsami.8b00842
244,Li10.2Al4.2Ge7.8P18.0O72.0,167,8.25247,8.25247,20.6936,90,90,120,0.000264,10.1021/acsami.8b00842
245,Li10.8Al4.8Ge7.2P18.0O72.0,167,8.25004,8.25004,20.7062,90,90,120,0.000137,10.1021/acsami.8b00842
246,Li7.2Ti12.0Si1.2P16.8O72.0,167,8.518,8.518,20.848,90,90,120,8.60e-05,10.1149/1.2086597
247,Li7.8Ti12.0Si1.8P16.2O72.0,167,8.52,8.52,20.862,90,90,120,0.00032,10.1149/1.2086597
248,Li7.2Al1.2Ti10.8P18.0O72.0,167,8.5042,8.5042,20.8252,90,90,120,0.000595,10.1021/ic400577v
249,Li7.8Al1.8Ti10.2P18.0O72.0,167,8.5004,8.5004,20.8156,90,90,120,0.000722,10.1149/1.2086597
250,Li8.4Al2.4Ti9.6P18.0O72.0,167,8.4955,8.4955,20.7992,90,90,120,0.000388,10.1149/1.2086597
251,Li9.0Al3.0Ti9.0P18.0O72.0,167,8.4935,8.4935,20.7994,90,90,120,0.000248,10.1149/1.2086597
252,Li7.2Cr1.2Ti10.8P18.0O72.0,167,8.5189,8.5189,20.8643,90,90,120,1.82e-05,10.1149/1.2086597
253,Li7.8Cr1.8Ti10.2P18.0O72.0,167,8.5203,8.5203,20.8702,90,90,120,3.51e-05,10.1149/1.2086597
254,Li8.4Cr2.4Ti9.6P18.0O72.0,167,8.522,8.522,20.88,90,90,120,0.000149,10.1149/1.2086597
255,Li9.0Cr3.0Ti9.0P18.0O72.0,167,8.5218,8.5218,20.8829,90,90,120,0.000386,10.1149/1.2086597
256,Li7.2Ga1.2Ti10.8P18.0O72.0,167,8.5156,8.5156,20.8451,90,90,120,0.000162,10.1149/1.2086597
257,Li7.8Ga1.8Ti10.2P18.0O72.0,167,8.5175,8.5175,20.8541,90,90,120,0.000261,10.1149/1.2086597
258,Li8.4Ga2.4Ti9.6P18.0O72.0,167,8.5136,8.5136,20.8588,90,90,120,0.000128,10.1149/1.2086597
259,Li9.0Ga3.0Ti9.0P18.0O72.0,167,8.5159,8.5159,20.8419,90,90,120,0.000122,10.1149/1.2086597
260,Li7.2Fe1.2Ti10.8P18.0O72.0,167,8.5213,8.5213,20.8648,90,90,120,0.00018,10.1149/1.2086597
261,Li7.8Fe1.8Ti10.2P18.0O72.0,167,8.5262,8.5262,20.865,90,90,120,0.000246,10.1007/s10008-002-0314-3
262,Li8.4Fe2.4Ti9.6P18.0O72.0,167,8.5301,8.5301,20.8889,90,90,120,0.000392,10.1149/1.2086597
263,Li9.0Fe3.0Ti9.0P18.0O72.0,167,8.5367,8.5367,20.8932,90,90,120,0.000174,10.1149/1.2086597
264,Li7.2Sc1.2Ti10.8P18.0O72.0,167,8.5482,8.5482,20.9418,90,90,120,0.00069,10.1021/acs.inorgchem.6b02274
265,Li7.8Sc1.8Ti10.2P18.0O72.0,167,8.5645,8.5645,20.985,90,90,120,0.000703,10.1021/acs.inorgchem.6b02274
266,Li8.4Sc2.4Ti9.6P18.0O72.0,167,8.5651,8.5651,20.9948,90,90,120,0.000515,10.1021/acs.inorgchem.6b02274
267,Li7.2In1.2Ti10.8P18.0O72.0,167,8.544,8.544,20.948,90,90,120,0.00039,10.1149/1.2086597
268,Li7.8In1.8Ti10.2P18.0O72.0,167,8.5495,8.5495,20.9586,90,90,120,0.000393,10.1149/1.2086597
269,Li8.4In2.4Ti9.6P18.0O72.0,167,8.5626,8.5626,21.0066,90,90,120,0.000302,10.1149/1.2086597
270,Li9.0In3.0Ti9.0P18.0O72.0,167,8.5695,8.5695,21.0089,90,90,120,0.000204,10.1149/1.2086597
271,Li7.2La1.2Ti10.8P18.0O72.0,167,8.5117,8.5117,20.8537,90,90,120,8.00e-05,10.1149/1.2086597
272,Li7.8La1.8Ti10.2P18.0O72.0,167,8.5119,8.5119,20.8513,90,90,120,0.000523,10.1149/1.2086597
273,Li8.4La2.4Ti9.6P18.0O72.0,167,8.5108,8.5108,20.8492,90,90,120,0.000498,10.1149/1.2086597
274,Li9.0La3.0Ti9.0P18.0O72.0,167,8.5218,8.5218,20.8621,90,90,120,0.000281,10.1149/1.2086597
275,Li6.0Ti8.4Sn3.6P18.0O72.0,167,8.5491,8.5491,21.0473,90,90,120,2.28e-05,10.1016/j.physb.2011.11.006
276,Li6.0Ti3.6Sn8.4P18.0O72.0,167,8.5983,8.5983,21.2868,90,90,120,9.42e-06,10.1016/j.physb.2011.11.006
277,Li6.0Ti2.4Sn9.6P18.0O72.0,167,8.6121,8.6121,21.3574,90,90,120,3.15e-06,10.1016/j.physb.2011.11.006
278,Li6.9Y0.9Zr11.1P18.0O72.0,167,8.8727,8.8727,22.1578,90,90,120,0.00014,10.1016/j.jpowsour.2013.03.175
279,Li6.0Zr12.0P18.0O72.0,167,8.847,8.847,22.24,90,90,120,1.00e-09,10.1002/chin.199345017
280,Li5.16Hf12.21P18.0O72.0,167,8.8306,8.8306,22.027,90,90,120,9.20e-08,10.1021/cm970078n
281,Li10.2Al1.8Ti9.6P18.0O72.0,167,8.46,8.46,20.69,90,90,120,0.00122,10.1016/s0167-2738(00)00493-8
282,Li7.2In1.2Ti10.8P18.0O72.0,167,8.55,8.55,20.96,90,90,120,8.22e-05,10.1149/1.2086597
283,Li7.8Al1.2Sc0.6Ti10.2P18.0O72.0,167,8.5169,8.5169,20.916,90,90,120,0.000972,10.1016/j.ssi.2012.03.045
284,Li7.8Al0.9Sc0.9Ti10.2P18.0O72.0,167,8.5244,8.5244,20.9553,90,90,120,0.00124,10.1016/j.ssi.2012.03.045
285,Li7.8Al0.6Sc1.2Ti10.2P18.0O72.0,167,8.5322,8.5322,21.0039,90,90,120,0.000429,10.1016/j.ssi.2012.03.045
286,Li7.8Sc1.8Ti10.2P18.0O72.0,167,8.5529,8.5529,21.058,90,90,120,0.000452,10.1021/acs.inorgchem.6b02274
287,Li7.8Al1.8Ti10.2P18.0O72.0,167,8.5012,8.5012,20.8416,90,90,120,0.00113,10.1149/1.2086597
288,Li6.0Ti6.0P18.0O72.0,167,8.5087,8.5087,20.9089,90,90,120,6.00e-05,10.1016/j.ssi.2014.07.018
289,Li6.3Al0.3Ti5.7P18.0O72.0,167,8.5066,8.5066,20.9085,90,90,120,0.0011,10.1016/j.ssi.2014.07.018
290,Li6.6Al0.6Ti5.4P18.0O72.0,167,8.5068,8.5068,20.8905,90,90,120,0.00067,10.1016/S0955-2219(99)00055-2
291,Li7.8Al1.8Ti4.2P18.0O72.0,167,8.4941,8.4941,20.8586,90,90,120,0.0062,10.1149/1.2086597
292,Li8.4Al2.4Ti3.6P18.0O72.0,167,8.4882,8.4882,20.8571,90,90,120,0.0033,10.1016/j.ssi.2014.07.018
293,Li6.3Cr0.3Ti5.7P18.0O72.0,167,8.5093,8.5093,20.915,90,90,120,0.00018,10.1016/j.ssi.2014.07.018
294,Li6.6Cr0.6Ti5.4P18.0O72.0,167,8.5126,8.5126,20.9212,90,90,120,0.00026,10.1016/j.ssi.2014.07.018
295,Li7.2Cr1.2Ti4.8P18.0O72.0,167,8.5132,8.5132,20.9271,90,90,120,0.00043,10.1149/1.2086597
296,Li7.8Cr1.8Ti4.2P18.0O72.0,167,8.5183,8.5183,20.9177,90,90,120,0.00029,10.1149/1.2086597
297,Li6.3Fe0.3Ti5.7P18.0O72.0,167,8.5125,8.5125,20.8871,90,90,120,0.00013,10.1016/j.ssi.2014.07.018
298,Li6.6Fe0.6Ti5.4P18.0O72.0,167,8.5137,8.5137,20.8822,90,90,120,0.00063,10.1016/j.ssi.2014.07.018
299,Li7.2Fe1.2Ti4.8P18.0O72.0,167,8.5213,8.5213,20.9211,90,90,120,0.0014,10.1016/j.ssi.2014.07.018
300,Li7.8Fe1.8Ti4.2P18.0O72.0,167,8.5239,8.5239,20.9215,90,90,120,0.0023,10.1016/j.ssi.2014.07.018
301,Li7.8Al1.8Ge10.2P18.0O72.0,167,8.26189,8.26189,20.5646,90,90,120,8.24e-05,10.1021/acs.chemmater.7b01463
302,Li9.6Al3.6Ge8.4P18.0O72.0,167,8.2526,8.2526,20.6831,90,90,120,0.000284,10.1021/acs.chemmater.7b01463
303,Li8.4Al2.4Ti9.6P18.0O72.0,167,8.4975,8.4975,20.7921,90,90,120,0.00338,10.1149/1.2086597
304,Li7.2Al1.2Ge10.8P18.0O72.0,167,8.283,8.283,20.471,90,90,120,7.94e-05,10.1021/acsami.8b00842
305,Li9.0Al3.0Ge9.0P18.0O72.0,167,8.2828,8.2828,20.5014,90,90,120,0.00019,10.1021/acsami.8b00842
306,Li7.2Al1.2Ti10.8P18.0O72.0,167,8.502,8.502,20.818,90,90,120,0.00338,10.1021/ic400577v
307,Li8.4Al2.4Ti9.6P18.0O72.0,167,8.503,8.503,20.847,90,90,120,0.00112,10.1149/1.2086597
308,Li7.8Al1.8Ti10.2P18.0O72.0,167,8.513,8.513,20.85,90,90,120,3.40e-07,10.1149/1.2086597
309,Li7.8Al1.8Ti10.2P18.0O72.0,167,8.5033,8.5033,20.8312,90,90,120,0.00121,10.1149/1.2086597
310,Li9.6Al3.6Ge4.8P18.0O72.0,167,8.383,8.383,20.637,90,90,120,0.0007,10.1021/cm021717j
311,Li6.0Ti12.0P18.0O72.0,167,8.509,8.509,20.853,90,90,120,3.83e-07,10.1021/ic400577v
312,Li8.4Al2.4Ti9.6P18.0O72.0,167,8.5,8.5,20.81,90,90,120,0.00563,10.1149/1.2086597
313,Li7.8Al0.6Sc1.2Ti10.2P18.0O72.0,167,8.5244,8.5244,20.925,90,90,120,0.000426,10.1016/j.ssi.2012.03.045
314,Li7.8Al1.2Sc0.6Ti10.2P18.0O72.0,167,8.5216,8.5216,20.917,90,90,120,0.000269,10.1016/j.ssi.2012.03.045
315,Li6.0Ti12.0P18.0O72.0,167,8.5135,8.5135,20.8705,90,90,120,7.20e-05,10.1021/ic400577v
316,Li6.9Fe0.9Ti11.1P18.0O72.0,167,8.5188,8.5188,20.8472,90,90,120,0.000522,10.1007/s11164-013-1348-0
317,Li7.2Sc1.2Ti10.8P18.0O72.0,167,8.536,8.536,20.922,90,90,120,0.000246,10.1021/acs.inorgchem.6b02274
318,Li7.8Sc1.8Ti10.2P18.0O72.0,167,8.559,8.559,20.964,90,90,120,0.000407,10.1021/acs.inorgchem.6b02274
319,Li6.6Sc0.6Ti11.4P18.0O72.0,167,8.522,8.522,20.889,90,90,120,0.000158,10.1021/acs.inorgchem.6b02274
320,Li7.8In1.8Hf10.2P18.0O72.0,167,8.82,8.82,21.933,90,90,120,1.00e-05,10.1016/0167-2738(86)90179-7
321,Li6.0Ti1.2Zr10.8P18.0O72.0,167,8.828,8.828,21.978,90,90,120,5.60e-08,10.1016/0167-2738(86)90179-7
322,Li6.0Ti10.8Zr1.2P18.0O72.0,167,8.54,8.54,20.985,90,90,120,8.50e-08,10.1016/0167-2738(86)90179-7
323,Li6.0Ti0.6Zr11.4P18.0O72.0,167,8.845,8.845,22.057,90,90,120,3.20e-08,10.1016/0167-2738(86)90179-7
324,Li7.2In1.2Hf10.8P18.0O72.0,167,8.815,8.815,21.954,90,90,120,4.00e-06,10.1016/0167-2738(93)90387-I
325,Li6.0Hf12.0P18.0O72.0,167,8.809,8.809,21.98,90,90,120,3.00e-06,10.1002/chin.199345017
326,Li6.6Fe0.6Hf11.4P18.0O72.0,167,8.822,8.822,21.997,90,90,120,0.000107,10.1016/0167-2738(93)90387-I
327,Li6.6In0.6Hf11.4P18.0O72.0,167,8.831,8.831,22.036,90,90,120,5.13e-05,10.1016/0167-2738(93)90387-I
328,Li6.6Lu0.6Hf11.4P18.0O72.0,167,8.839,8.839,22.046,90,90,120,5.88e-05,10.1016/0167-2738(93)90387-I
329,Li6.6Sc0.6Hf11.4P18.0O72.0,167,8.837,8.837,21.965,90,90,120,2.45e-05,10.1016/0167-2738(93)90387-I
330,Li7.2Lu1.2Hf10.8P18.0O72.0,167,8.836,8.836,21.997,90,90,120,0.000129,10.1016/0167-2738(93)90387-I
331,Li7.8Cr1.8Hf10.2P18.0O72.0,167,8.798,8.798,21.929,90,90,120,5.26e-07,10.1016/0167-2738(93)90387-I
332,Li7.8Fe1.8Hf10.2P18.0O72.0,167,8.809,8.809,21.889,90,90,120,5.40e-05,10.1016/0167-2738(93)90387-I
333,Li7.8In1.8Hf10.2P18.0O72.0,167,8.84,8.84,21.995,90,90,120,0.000142,10.1016/0167-2738(86)90179-7
334,Li7.8Lu1.8Hf10.2P18.0O72.0,167,8.843,8.843,21.995,90,90,120,3.56e-05,10.1016/0167-2738(93)90387-I
335,Li7.8Sc1.8Hf10.2P18.0O72.0,167,8.857,8.857,21.995,90,90,120,8.32e-05,10.1016/0167-2738(93)90387-I
336,Li7.8Y1.8Hf10.2P18.0O72.0,167,8.835,8.835,21.957,90,90,120,3.19e-05,10.1016/0167-2738(93)90387-I
337,Li8.4In2.4Hf9.6P18.0O72.0,167,8.836,8.836,21.926,90,90,120,0.000142,10.1016/0167-2738(93)90387-I
338,Li8.4Lu2.4Hf9.6P18.0O72.0,167,8.877,8.877,21.946,90,90,120,2.06e-05,10.1016/0167-2738(93)90387-I
339,Li8.4Y2.4Hf9.6P18.0O72.0,167,8.863,8.863,21.91,90,90,120,2.09e-05,10.1016/0167-2738(93)90387-I
340,Li6.9Y0.9Zr11.1P18.0O72.0,167,8.8727,8.8727,22.1578,90,90,120,7.10e-05,10.1016/j.jpowsour.2013.03.175
341,Li7.8Al1.2Y0.6Ti10.2P18.0O72.0,167,8.5054,8.5054,20.8247,90,90,120,0.00012,10.1016/j.ssi.2012.05.011
342,Li7.8Al0.6Y1.2Ti10.2P18.0O72.0,167,8.5109,8.5109,20.8372,90,90,120,7.30e-05,10.1016/j.ssi.2012.05.011
343,Li7.8Al0.9Y0.9Ti10.2P18.0O72.0,167,8.5069,8.5069,20.8226,90,90,120,1.90e-05,10.1016/j.ssi.2012.05.011
344,Li6.6Al0.6Ge11.4P18.0O72.0,167,8.262,8.262,20.44,90,90,120,2.90e-06,10.1021/acs.chemmater.7b01463
345,Li7.8Al1.8Ge10.2P18.0O72.0,167,8.274,8.274,20.53,90,90,120,3.90e-05,10.1021/acs.chemmater.7b01463
346,Li9.0Al3.0Ge9.0P18.0O72.0,167,8.25,8.25,20.56,90,90,120,0.00028,10.1021/acsami.8b00842
347,Li9.6Al3.6Ge8.4P18.0O72.0,167,8.265,8.265,20.64,90,90,120,0.00014,10.1021/acs.chemmater.7b01463
348,Li6.6Al0.6Ti11.4P18.0O72.0,167,8.508,8.508,20.855,90,90,120,3.00e-05,10.1016/S0955-2219(99)00055-2
349,Li7.8Al1.8Ti10.2P18.0O72.0,167,8.498,8.498,20.896,90,90,120,3.75e-05,10.1149/1.2086597
350,Li9.6Al3.6Ti8.4P18.0O72.0,167,8.479,8.479,20.981,90,90,120,2.30e-05,10.1016/S0955-2219(99)00055-2
351,Li9.0Al3.0Ti9.0P18.0O72.0,167,8.485,8.485,20.79,90,90,120,1.10e-05,10.1149/1.2086597
352,Li6.6Al0.6Ti11.4P18.0O72.0,167,8.508,8.508,20.72,90,90,120,5.00e-06,10.1016/S0955-2219(99)00055-2
353,Li7.2La1.2Ti10.8P18.0O72.0,167,8.511,8.511,20.853,90,90,120,0.000528,10.1149/1.2086597
354,Li7.8La1.8Ti10.2P18.0O72.0,167,8.512,8.512,20.854,90,90,120,0.000528,10.1149/1.2086597
355,Li10.8Cr4.8Ti7.2P18.0O72.0,167,8.539,8.539,20.947,90,90,120,0.00024,10.1016/0167-2738(88)90291-3
356,Li7.2Al6.6Ta5.4P18.0O72.0,167,8.513,8.513,21.229,90,90,120,6.50e-07,10.1039/A807007E
357,Li6.0Al6.0Ta6.0P18.0O72.0,167,8.542,8.542,20.815,90,90,120,6.50e-07,10.1039/A807007E
358,Li6.0Cr6.0Sb6.0P18.0O72.0,167,8.38,8.38,21.46,90,90,120,3.57e-10,10.1063/1.2357843
359,Li6.0Al6.0Sb6.0P18.0O72.0,167,8.24,8.24,21.13,90,90,120,3.17e-08,10.1063/1.2357843
360,Li6.0Fe6.0Sb6.0P18.0O72.0,167,8.44,8.44,21.48,90,90,120,1.37e-06,10.1063/1.2357843
361,Li18.0Mg6.0P8.0O32.0F6.0,173,12.6159,12.6159,5.0082,90,90,120,1e-15,10.1039/c3ta15264b
362,Pb6.12Ca1.9Li1.96P6.0O24.0,176,9.679,9.679,7.113,90,90,120,1e-15,10.1006/jssc.2002.9596
363,Li0.57Sm9.02Si6.0O25.82,176,9.4601,9.4601,6.9113,90,90,120,1e-15,10.1016/0167-2738(95)00240-5
364,Li12.0N8.0H16.0I4.0,186,7.09109,7.09109,11.50958,90,90,120,1.00e-05,10.1021/cm1006857
365,Ba3.0Li1.0Ta5.0Zr1.0Si4.0O26.0,189,9.0495,9.0495,7.8198,90,90,120,1e-15,10.1016/j.ssi.2015.08.011
366,Li3.0N1.0,191,3.648,3.648,3.875,90,90,120,0.0005767,10.1063/1.89283
367,Fe4.0Na4.0K2.0Li6.0Si24.0O60.0,192,10.0617,10.0617,14.0832,90,90,120,1e-15,10.1016/j.jssc.2018.05.008
368,Li6.0P2.0,194,4.273,4.273,7.594,90,90,120,0.000703,10.1016/0167-2738(89)90438-4
369,Li6.0N2.0,194,3.552,3.552,6.311,90,90,120,0.0002085,10.1063/1.89283
370,Li48.0Ba8.0La16.0Nb16.0O96.0,199,12.86,12.86,12.86,90,90,90,6.00e-06,10.1111/j.1551-2916.2005.00060.x
371,Li40.0La24.0Nb16.0O96.0,199,12.762,12.762,12.762,90,90,90,8.00e-06,10.1111/j.1551-2916.2005.00060.x
372,Li48.0Sr8.0La16.0Ta16.0O96.0,199,12.808,12.808,12.808,90,90,90,7.00e-06,10.1021/am4060194
373,Li44.0La24.0Nb14.0In2.0O96.0,199,12.821,12.821,12.821,90,90,90,2.40e-05,10.1016/j.jssc.2005.12.025
374,Li44.0La22.0K2.0Nb16.0O96.0,199,12.7937,12.7937,12.7937,90,90,90,1.06e-05,10.1016/j.jssc.2005.12.025
375,K0.4Li3.6Sb4.0O12.0,201,9.681,9.681,9.681,90,90,90,1.36e-08,10.1016/0167-2738(81)90178-8
376,Li64.0Ge8.0P32.0,205,11.80203,11.80203,11.80203,90,90,90,1.80e-05,10.1021/acs.chemmater.8b02759
377,Li64.0Si8.0P32.0,205,11.70737,11.70737,11.70737,90,90,90,4.50e-05,10.1021/acs.chemmater.8b02759
378,Li48.0Al16.0N32.0,206,9.47,9.47,9.47,90,90,90,5.00e-08,10.1016/0167-2738(85)90106-7
379,Li8.0Mg4.0Ti12.0O32.0,212,8.3774,8.3774,8.3774,90,90,90,1e-15,10.1039/a800234g
380,Li8.0Co4.0Ti12.0O32.0,212,8.3766,8.3766,8.3766,90,90,90,1e-15,10.1039/a800234g
381,Li8.0Co4.0Ge12.0O32.0,212,8.2098,8.2098,8.2098,90,90,90,1e-15,10.1039/a800234g
382,Li8.0Zn4.0Ge12.0O32.0,212,8.1961,8.1961,8.1961,90,90,90,1e-15,10.1039/a800234g
383,Li8.56Mg3.16Ti12.28O32.0,212,8.3792,8.3792,8.3792,90,90,90,6.56e-10,10.1016/j.ssi.2010.06.003
384,Li7.96Mg4.04Ti12.0O32.0,212,8.3806,8.3806,8.3806,90,90,90,1.53e-11,10.1016/j.ssi.2010.06.003
385,Li24.0P4.0O20.0Cl4.0,216,8.2971,8.2971,8.2971,90,90,90,1.00e-09,10.1002/zaac.201000121
386,Li8.0V4.0Cl16.0,216,10.323,10.323,10.323,90,90,90,6.95e-06,10.1016/0167-2738(83)90223-0
387,Li24.0P4.0S20.0Cl1.0Br3.0,216,9.953,9.953,9.953,90,90,90,0.00186,10.1021/jacs.7b06327.s001
388,Li24.0P4.0S20.0Cl4.0,216,9.898,9.898,9.898,90,90,90,0.00205,10.1021/jacs.7b06327.s001
389,Li24.0P4.0S20.0Cl2.0Br2.0,216,9.952,9.952,9.952,90,90,90,0.00333,10.1021/jacs.7b06327
390,Li24.0P4.0S20.0Br4.0,216,10.02,10.02,10.02,90,90,90,0.00115,10.1021/jacs.7b06327.s001
391,Li24.0P4.0S20.0Br2.0I2.0,216,10.109,10.109,10.109,90,90,90,2.62e-05,10.1021/jacs.7b06327.s001
392,Li24.0P4.0S20.0I4.0,216,10.181,10.181,10.181,90,90,90,1.30e-06,10.1021/jacs.7b06327.s001
393,Li24.0P4.0S20.0Cl3.0Br1.0,216,9.8911,9.8911,9.8911,90,90,90,0.00226,10.1021/jacs.7b06327.s001
394,Li24.0P4.0S20.0Br3.0I1.0,216,10.0336,10.0336,10.0336,90,90,90,0.000112,10.1021/jacs.7b06327.s001
395,Li24.0P4.0S20.0Br1.0I3.0,216,10.1108,10.1108,10.1108,90,90,90,4.72e-06,10.1021/jacs.7b06327
396,Li24.0P4.0S20.0Br4.0,216,9.9773,9.9773,9.9773,90,90,90,0.000701,10.1021/jacs.7b06327.s001
397,Li24.1P3.9Si0.1S20.0Br4.0,216,9.9819,9.9819,9.9819,90,90,90,0.000878,10.1039/c7ta08581h
398,Li24.2P3.8Si0.2S20.0Br4.0,216,9.9871,9.9871,9.9871,90,90,90,0.000437,10.1039/c7ta08581h
399,Li24.3P3.7Si0.3S20.0Br4.0,216,9.9938,9.9938,9.9938,90,90,90,0.000873,10.1039/c7ta08581h
400,Li24.4P3.8Si0.4S20.0Br4.0,216,10.0024,10.0024,10.0024,90,90,90,0.000799,10.1039/C7TA08581H
401,Li24.5P3.5Si0.5S20.0Br4.0,216,10.0098,10.0098,10.0098,90,90,90,0.000902,10.1039/c7ta08581h
402,Li24.7P3.3Si0.7S20.0Br4.0,216,10.0193,10.0193,10.0193,90,90,90,0.000931,10.1039/c7ta08581h
403,Li24.8P3.2Si0.8S20.0Br4.0,216,10.024,10.024,10.024,90,90,90,0.00169,10.1039/c7ta08581h
404,Li24.9P3.1Si0.9S20.0Br4.0,216,10.0315,10.0315,10.0315,90,90,90,0.00108,10.1039/c7ta08581h
405,Li25.0P3.0Si1.0S20.0Br4.0,216,10.0365,10.0365,10.0365,90,90,90,0.00141,10.1039/c7ta08581h
406,Li25.2P2.8Si1.2S20.0Br4.0,216,10.0521,10.0521,10.0521,90,90,90,0.00165,10.1039/c7ta08581h
407,Li25.4P2.6Si1.4S20.0Br4.0,216,10.0468,10.0468,10.0468,90,90,90,0.00234,10.1039/c7ta08581h
408,Li26.0P2.0Si2.0S20.0Br4.0,216,10.0521,10.0521,10.0521,90,90,90,0.00219,10.1039/c7ta08581h
409,Li28.0Ge12.0P4.0S48.0,216,9.80192,9.80192,9.80192,90,90,90,0.00011,10.1016/j.jssc.2016.12.001
410,Li24.0P4.0S20.0Cl4.0,216,9.8397,9.8397,9.8397,90,90,90,0.0013,10.1021/jacs.7b06327.s001
411,Li24.0P4.0S20.0Br4.0,216,9.988,9.988,9.988,90,90,90,0.00277,10.1021/jacs.7b06327.s001
