Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),Space group number,a,b,c,alpha,beta,gamma
Li1.2Ti1.8Sc0.2(PO4)3,6,Li7.2Ti10.8Sc1.2P18.0O72.0,9.98E-05,167,8.527,8.527,20.924,90,90,120
LiHf2(PO4)3,6,Li6.0Hf12.0P18.0O72.0,2.83E-07,167,8.824,8.824,22.04,90,90,120
LiGe2(PO4)3,6,Li6.0Ge12.0P18.0O72.0,3.33E-07,167,8.287,8.287,20.475,90,90,120
LiTi2(PO4)3,6,Li6.0Ti12.0P18.0O72.0,2.00E-06,167,8.512,8.512,20.858,90,90,120
Li1.2Ti1.8Sc0.2(PO4)3,6,Li7.2Ti10.8Sc1.2P18.0O72.0,0.00251,167,8.527,8.527,20.924,90,90,120
LiGe2(PO4)3,6,Li6.0Ge12.0P18.0O72.0,4.83E-09,167,8.27059,8.27059,20.4652,90,90,120
Li1.2Al0.2Ge1.8(PO4)3,6,Li7.2Al1.2Ge10.8P18.0O72.0,4.83E-05,167,8.2619,8.2619,20.5656,90,90,120
Li1.4Al0.4Ge1.6(PO4)3,6,Li8.4Al2.4Ge9.6P18.0O72.0,0.000188,167,8.25565,8.25565,20.6319,90,90,120
Li1.5Al0.5Ge1.5(PO4)3,6,Li9.0Al3.0Ge9.0P18.0O72.0,0.000336,167,8.25658,8.25658,20.6523,90,90,120
Li1.7Al0.7Ge1.3(PO4)3,6,Li10.2Al4.2Ge7.8P18.0O72.0,0.000264,167,8.25247,8.25247,20.6936,90,90,120
Li1.8Al0.8Ge1.2(PO4)3,6,Li10.8Al4.8Ge7.2P18.0O72.0,0.000137,167,8.25004,8.25004,20.7062,90,90,120
Li1.2Ti2Si0.2P2.8O12,6,Li7.2Ti12.0Si1.2P16.8O72.0,8.60E-05,167,8.518,8.518,20.848,90,90,120
Li1.3Ti2Si0.3P2.7O12,6,Li7.8Ti12.0Si1.8P16.2O72.0,0.00032,167,8.52,8.52,20.862,90,90,120
Li1.2Al0.2Ti1.8(PO4)3,6,Li7.2Al1.2Ti10.8P18.0O72.0,0.000595,167,8.5042,8.5042,20.8252,90,90,120
Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,0.000722,167,8.5004,8.5004,20.8156,90,90,120
Li1.4Al0.4Ti1.6(PO4)3,6,Li8.4Al2.4Ti9.6P18.0O72.0,0.000388,167,8.4955,8.4955,20.7992,90,90,120
Li1.5Al0.5Ti1.5(PO4)3,6,Li9.0Al3.0Ti9.0P18.0O72.0,0.000248,167,8.4935,8.4935,20.7994,90,90,120
Li1.2Cr0.2Ti1.8(PO4)3,6,Li7.2Cr1.2Ti10.8P18.0O72.0,1.82E-05,167,8.5189,8.5189,20.8643,90,90,120
Li1.3Cr0.3Ti1.7(PO4)3,6,Li7.8Cr1.8Ti10.2P18.0O72.0,3.51E-05,167,8.5203,8.5203,20.8702,90,90,120
Li1.4Cr0.4Ti1.6(PO4)3,6,Li8.4Cr2.4Ti9.6P18.0O72.0,0.000149,167,8.522,8.522,20.88,90,90,120
Li1.5Cr0.5Ti1.5(PO4)3,6,Li9.0Cr3.0Ti9.0P18.0O72.0,0.000386,167,8.5218,8.5218,20.8829,90,90,120
Li1.2Ga0.2Ti1.8(PO4)3,6,Li7.2Ga1.2Ti10.8P18.0O72.0,0.000162,167,8.5156,8.5156,20.8451,90,90,120
Li1.3Ga0.3Ti1.7(PO4)3,6,Li7.8Ga1.8Ti10.2P18.0O72.0,0.000261,167,8.5175,8.5175,20.8541,90,90,120
Li1.4Ga0.4Ti1.6(PO4)3,6,Li8.4Ga2.4Ti9.6P18.0O72.0,0.000128,167,8.5136,8.5136,20.8588,90,90,120
Li1.5Ga0.5Ti1.5(PO4)3,6,Li9.0Ga3.0Ti9.0P18.0O72.0,0.000122,167,8.5159,8.5159,20.8419,90,90,120
Li1.2Fe0.2Ti1.8(PO4)3,6,Li7.2Fe1.2Ti10.8P18.0O72.0,0.00018,167,8.5213,8.5213,20.8648,90,90,120
Li1.3Fe0.3Ti1.7(PO4)3,6,Li7.8Fe1.8Ti10.2P18.0O72.0,0.000246,167,8.5262,8.5262,20.865,90,90,120
Li1.4Fe0.4Ti1.6(PO4)3,6,Li8.4Fe2.4Ti9.6P18.0O72.0,0.000392,167,8.5301,8.5301,20.8889,90,90,120
Li1.5Fe0.5Ti1.5(PO4)3,6,Li9.0Fe3.0Ti9.0P18.0O72.0,0.000174,167,8.5367,8.5367,20.8932,90,90,120
Li1.2Sc0.2Ti1.8(PO4)3,6,Li7.2Sc1.2Ti10.8P18.0O72.0,0.00069,167,8.5482,8.5482,20.9418,90,90,120
Li1.3Sc0.3Ti1.7(PO4)3,6,Li7.8Sc1.8Ti10.2P18.0O72.0,0.000703,167,8.5645,8.5645,20.985,90,90,120
Li1.4Sc0.4Ti1.6(PO4)3,6,Li8.4Sc2.4Ti9.6P18.0O72.0,0.000515,167,8.5651,8.5651,20.9948,90,90,120
Li1.2In0.2Ti1.8(PO4)3,6,Li7.2In1.2Ti10.8P18.0O72.0,0.00039,167,8.544,8.544,20.948,90,90,120
Li1.3In0.3Ti1.7(PO4)3,6,Li7.8In1.8Ti10.2P18.0O72.0,0.000393,167,8.5495,8.5495,20.9586,90,90,120
Li1.4In0.4Ti1.6(PO4)3,6,Li8.4In2.4Ti9.6P18.0O72.0,0.000302,167,8.5626,8.5626,21.0066,90,90,120
Li1.5In0.5Ti1.5(PO4)3,6,Li9.0In3.0Ti9.0P18.0O72.0,0.000204,167,8.5695,8.5695,21.0089,90,90,120
Li1.2La0.2Ti1.8(PO4)3,6,Li7.2La1.2Ti10.8P18.0O72.0,8.00E-05,167,8.5117,8.5117,20.8537,90,90,120
Li1.3La0.3Ti1.7(PO4)3,6,Li7.8La1.8Ti10.2P18.0O72.0,0.000523,167,8.5119,8.5119,20.8513,90,90,120
Li1.4La0.4Ti1.6(PO4)3,6,Li8.4La2.4Ti9.6P18.0O72.0,0.000498,167,8.5108,8.5108,20.8492,90,90,120
Li1.5La0.5Ti1.5(PO4)3,6,Li9.0La3.0Ti9.0P18.0O72.0,0.000281,167,8.5218,8.5218,20.8621,90,90,120
Li(Ti1.4Sn0.6)(PO4)3,6,Li6.0Ti8.4Sn3.6P18.0O72.0,2.28E-05,167,8.5491,8.5491,21.0473,90,90,120
Li(Ti0.6Sn1.4)(PO4)3,6,Li6.0Ti3.6Sn8.4P18.0O72.0,9.42E-06,167,8.5983,8.5983,21.2868,90,90,120
Li(Ti0.4Sn1.6)(PO4)3,6,Li6.0Ti2.4Sn9.6P18.0O72.0,3.15E-06,167,8.6121,8.6121,21.3574,90,90,120
Li1.15Y0.15Zr1.85(PO4)3,6,Li6.9Y0.9Zr11.1P18.0O72.0,0.00014,167,8.8727,8.8727,22.1578,90,90,120
LiZr2(PO4)3,6,Li6.0Zr12.0P18.0O72.0,1.00E-09,167,8.847,8.847,22.24,90,90,120
Li0.86Hf2.035(PO4)3,6,Li5.16Hf12.21P18.0O72.0,9.20E-08,167,8.8306,8.8306,22.027,90,90,120
Li1.7Al0.3Ti1.6(PO4)3,6,Li10.2Al1.8Ti9.6P18.0O72.0,0.00122,167,8.46,8.46,20.69,90,90,120
Li1.2In0.2Ti1.8(PO4)3,6,Li7.2In1.2Ti10.8P18.0O72.0,8.22E-05,167,8.55,8.55,20.96,90,90,120
Li1.3Al0.2Sc0.1Ti1.7(PO4)3,6,Li7.8Al1.2Sc0.6Ti10.2P18.0O72.0,0.000972,167,8.5169,8.5169,20.916,90,90,120
Li1.3Al0.15Sc0.15Ti1.7(PO4)3,6,Li7.8Al0.9Sc0.9Ti10.2P18.0O72.0,0.00124,167,8.5244,8.5244,20.9553,90,90,120
Li1.3Al0.1Sc0.2Ti1.7(PO4)3,6,Li7.8Al0.6Sc1.2Ti10.2P18.0O72.0,0.000429,167,8.5322,8.5322,21.0039,90,90,120
Li1.3Sc0.3Ti1.7(PO4)3,6,Li7.8Sc1.8Ti10.2P18.0O72.0,0.000452,167,8.5529,8.5529,21.058,90,90,120
Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,0.00113,167,8.5012,8.5012,20.8416,90,90,120
LiTi(PO4)3,6,Li6.0Ti6.0P18.0O72.0,6.00E-05,167,8.5087,8.5087,20.9089,90,90,120
Li1.05Al0.05Ti0.95(PO4)3,6,Li6.3Al0.3Ti5.7P18.0O72.0,0.0011,167,8.5066,8.5066,20.9085,90,90,120
Li1.1Al0.1Ti0.9(PO4)3,6,Li6.6Al0.6Ti5.4P18.0O72.0,0.00067,167,8.5068,8.5068,20.8905,90,90,120
Li1.3Al0.3Ti0.7(PO4)3,6,Li7.8Al1.8Ti4.2P18.0O72.0,0.0062,167,8.4941,8.4941,20.8586,90,90,120
Li1.4Al0.4Ti0.6(PO4)3,6,Li8.4Al2.4Ti3.6P18.0O72.0,0.0033,167,8.4882,8.4882,20.8571,90,90,120
Li1.05Cr0.05Ti0.95(PO4)3,6,Li6.3Cr0.3Ti5.7P18.0O72.0,0.00018,167,8.5093,8.5093,20.915,90,90,120
Li1.1Cr0.1Ti0.9(PO4)3,6,Li6.6Cr0.6Ti5.4P18.0O72.0,0.00026,167,8.5126,8.5126,20.9212,90,90,120
Li1.2Cr0.2Ti0.8(PO4)3,6,Li7.2Cr1.2Ti4.8P18.0O72.0,0.00043,167,8.5132,8.5132,20.9271,90,90,120
Li1.3Cr0.3Ti0.7(PO4)3,6,Li7.8Cr1.8Ti4.2P18.0O72.0,0.00029,167,8.5183,8.5183,20.9177,90,90,120
Li1.05Fe0.05Ti0.95(PO4)3,6,Li6.3Fe0.3Ti5.7P18.0O72.0,0.00013,167,8.5125,8.5125,20.8871,90,90,120
Li1.1Fe0.1Ti0.9(PO4)3,6,Li6.6Fe0.6Ti5.4P18.0O72.0,0.00063,167,8.5137,8.5137,20.8822,90,90,120
Li1.2Fe0.2Ti0.8(PO4)3,6,Li7.2Fe1.2Ti4.8P18.0O72.0,0.0014,167,8.5213,8.5213,20.9211,90,90,120
Li1.3Fe0.3Ti0.7(PO4)3,6,Li7.8Fe1.8Ti4.2P18.0O72.0,0.0023,167,8.5239,8.5239,20.9215,90,90,120
Li1.3Al0.3Ge1.7(PO4)3,6,Li7.8Al1.8Ge10.2P18.0O72.0,8.24E-05,167,8.26189,8.26189,20.5646,90,90,120
Li1.6Al0.6Ge1.4(PO4)3,6,Li9.6Al3.6Ge8.4P18.0O72.0,0.000284,167,8.2526,8.2526,20.6831,90,90,120
Li1.4Al0.4Ti1.6 (PO4)3,6,Li8.4Al2.4Ti9.6P18.0O72.0,0.00338,167,8.4975,8.4975,20.7921,90,90,120
Li1.2Al0.2Ge1.8(PO4)3,6,Li7.2Al1.2Ge10.8P18.0O72.0,7.94E-05,167,8.283,8.283,20.471,90,90,120
Li1.5Al0.5Ge1.5(PO4)3,6,Li9.0Al3.0Ge9.0P18.0O72.0,0.00019,167,8.2828,8.2828,20.5014,90,90,120
Li1.2Al0.2Ti1.8(PO4)3,6,Li7.2Al1.2Ti10.8P18.0O72.0,0.00338,167,8.502,8.502,20.818,90,90,120
Li1.4Al0.4Ti1.6(PO4)3,6,Li8.4Al2.4Ti9.6P18.0O72.0,0.00112,167,8.503,8.503,20.847,90,90,120
Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,3.40E-07,167,8.513,8.513,20.85,90,90,120
Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,0.00121,167,8.5033,8.5033,20.8312,90,90,120
Li1.6Al0.6Ge0.8(PO4)3,6,Li9.6Al3.6Ge4.8P18.0O72.0,0.0007,167,8.383,8.383,20.637,90,90,120
LiTi2(PO4)3,6,Li6.0Ti12.0P18.0O72.0,3.83E-07,167,8.509,8.509,20.853,90,90,120
Li1.4Al0.4Ti1.6(PO4)3,6,Li8.4Al2.4Ti9.6P18.0O72.0,0.00563,167,8.5,8.5,20.81,90,90,120
Li1.3Al0.1Sc0.2Ti1.7(PO4)3,6,Li7.8Al0.6Sc1.2Ti10.2P18.0O72.0,0.000426,167,8.5244,8.5244,20.925,90,90,120
Li1.3Al0.2Sc0.1Ti1.7(PO4)3,6,Li7.8Al1.2Sc0.6Ti10.2P18.0O72.0,0.000269,167,8.5216,8.5216,20.917,90,90,120
LiTi2(PO4)3,6,Li6.0Ti12.0P18.0O72.0,7.20E-05,167,8.5135,8.5135,20.8705,90,90,120
Li1.15Fe0.15Ti1.85(PO4)3,6,Li6.9Fe0.9Ti11.1P18.0O72.0,0.000522,167,8.5188,8.5188,20.8472,90,90,120
Li1.2Sc0.2Ti1.8(PO4)3,6,Li7.2Sc1.2Ti10.8P18.0O72.0,0.000246,167,8.536,8.536,20.922,90,90,120
Li1.3Sc0.3Ti1.7(PO4)3,6,Li7.8Sc1.8Ti10.2P18.0O72.0,0.000407,167,8.559,8.559,20.964,90,90,120
Li1.1Sc0.1Ti1.9(PO4)3,6,Li6.6Sc0.6Ti11.4P18.0O72.0,0.000158,167,8.522,8.522,20.889,90,90,120
Li1.3In0.3Hf1.7(PO4)3,6,Li7.8In1.8Hf10.2P18.0O72.0,1.00E-05,167,8.82,8.82,21.933,90,90,120
LiTi0.2Zr1.8(PO4)3,6,Li6.0Ti1.2Zr10.8P18.0O72.0,5.60E-08,167,8.828,8.828,21.978,90,90,120
LiTi1.8Zr0.2(PO4)3,6,Li6.0Ti10.8Zr1.2P18.0O72.0,8.50E-08,167,8.54,8.54,20.985,90,90,120
LiTi0.1Zr1.9(PO4)3,6,Li6.0Ti0.6Zr11.4P18.0O72.0,3.20E-08,167,8.845,8.845,22.057,90,90,120
Li1.2In0.2Hf1.8(PO4)3,6,Li7.2In1.2Hf10.8P18.0O72.0,4.00E-06,167,8.815,8.815,21.954,90,90,120
LiHf2(PO4)3,6,Li6.0Hf12.0P18.0O72.0,3.00E-06,167,8.809,8.809,21.98,90,90,120
Li1.1Fe0.1Hf1.9(PO4)3,6,Li6.6Fe0.6Hf11.4P18.0O72.0,0.000107,167,8.822,8.822,21.997,90,90,120
Li1.1In0.1Hf1.9(PO4)3,6,Li6.6In0.6Hf11.4P18.0O72.0,5.13E-05,167,8.831,8.831,22.036,90,90,120
Li1.1Lu0.1Hf1.9(PO4)3,6,Li6.6Lu0.6Hf11.4P18.0O72.0,5.88E-05,167,8.839,8.839,22.046,90,90,120
Li1.1Sc0.1Hf1.9(PO4)3,6,Li6.6Sc0.6Hf11.4P18.0O72.0,2.45E-05,167,8.837,8.837,21.965,90,90,120
Li1.2Lu0.2Hf1.8(PO4)3,6,Li7.2Lu1.2Hf10.8P18.0O72.0,0.000129,167,8.836,8.836,21.997,90,90,120
Li1.3Cr0.3Hf1.7(PO4)3,6,Li7.8Cr1.8Hf10.2P18.0O72.0,5.26E-07,167,8.798,8.798,21.929,90,90,120
Li1.3Fe0.3Hf1.7(PO4)3,6,Li7.8Fe1.8Hf10.2P18.0O72.0,5.40E-05,167,8.809,8.809,21.889,90,90,120
Li1.3In0.3Hf1.7(PO4)3,6,Li7.8In1.8Hf10.2P18.0O72.0,0.000142,167,8.84,8.84,21.995,90,90,120
Li1.3Lu0.3Hf1.7(PO4)3,6,Li7.8Lu1.8Hf10.2P18.0O72.0,3.56E-05,167,8.843,8.843,21.995,90,90,120
Li1.3Sc0.3Hf1.7(PO4)3,6,Li7.8Sc1.8Hf10.2P18.0O72.0,8.32E-05,167,8.857,8.857,21.995,90,90,120
Li1.3Y0.3Hf1.7(PO4)3,6,Li7.8Y1.8Hf10.2P18.0O72.0,3.19E-05,167,8.835,8.835,21.957,90,90,120
Li1.4In0.4Hf1.6(PO4)3,6,Li8.4In2.4Hf9.6P18.0O72.0,0.000142,167,8.836,8.836,21.926,90,90,120
Li1.4Lu0.4Hf1.6(PO4)3,6,Li8.4Lu2.4Hf9.6P18.0O72.0,2.06E-05,167,8.877,8.877,21.946,90,90,120
Li1.4Y0.4Hf1.6(PO4)3,6,Li8.4Y2.4Hf9.6P18.0O72.0,2.09E-05,167,8.863,8.863,21.91,90,90,120
Li1.15Y0.15Zr1.85(PO4)3,6,Li6.9Y0.9Zr11.1P18.0O72.0,7.10E-05,167,8.8727,8.8727,22.1578,90,90,120
Li1.3Al0.2Y0.1Ti1.7(PO4)3,6,Li7.8Al1.2Y0.6Ti10.2P18.0O72.0,0.00012,167,8.5054,8.5054,20.8247,90,90,120
Li1.3Al0.1Y0.2Ti1.7(PO4)3,6,Li7.8Al0.6Y1.2Ti10.2P18.0O72.0,7.30E-05,167,8.5109,8.5109,20.8372,90,90,120
Li1.3Al0.15Y0.15Ti1.7(PO4)3,6,Li7.8Al0.9Y0.9Ti10.2P18.0O72.0,1.90E-05,167,8.5069,8.5069,20.8226,90,90,120
Li1.1Al0.1Ge1.9(PO4)3,6,Li6.6Al0.6Ge11.4P18.0O72.0,2.90E-06,167,8.262,8.262,20.44,90,90,120
Li1.3Al0.3Ge1.7(PO4)3,6,Li7.8Al1.8Ge10.2P18.0O72.0,3.90E-05,167,8.274,8.274,20.53,90,90,120
Li1.5Al0.5Ge1.5(PO4)3,6,Li9.0Al3.0Ge9.0P18.0O72.0,0.00028,167,8.25,8.25,20.56,90,90,120
Li1.6Al0.6Ge1.4(PO4)3,6,Li9.6Al3.6Ge8.4P18.0O72.0,0.00014,167,8.265,8.265,20.64,90,90,120
Li1.1Al0.1Ti1.9(PO4)3,6,Li6.6Al0.6Ti11.4P18.0O72.0,3.00E-05,167,8.508,8.508,20.855,90,90,120
Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,3.75E-05,167,8.498,8.498,20.896,90,90,120
Li1.6Al0.6Ti1.4(PO4)3,6,Li9.6Al3.6Ti8.4P18.0O72.0,2.30E-05,167,8.479,8.479,20.981,90,90,120
Li1.5Al0.5Ti1.5(PO4)3,6,Li9.0Al3.0Ti9.0P18.0O72.0,1.10E-05,167,8.485,8.485,20.79,90,90,120
Li1.1Al0.1Ti1.9(PO4)3,6,Li6.6Al0.6Ti11.4P18.0O72.0,5.00E-06,167,8.508,8.508,20.72,90,90,120
Li1.2La0.2Ti1.8(PO4)3,6,Li7.2La1.2Ti10.8P18.0O72.0,0.000528,167,8.511,8.511,20.853,90,90,120
Li1.3La0.3Ti1.7(PO4)3,6,Li7.8La1.8Ti10.2P18.0O72.0,0.000528,167,8.512,8.512,20.854,90,90,120
Li1.8Cr0.8Ti1.2(PO4)3,6,Li10.8Cr4.8Ti7.2P18.0O72.0,0.00024,167,8.539,8.539,20.947,90,90,120
Li1.2Al1.1Ta0.9(PO4)3,6,Li7.2Al6.6Ta5.4P18.0O72.0,6.50E-07,167,8.513,8.513,21.229,90,90,120
LiAlTa(PO4)3,6,Li6.0Al6.0Ta6.0P18.0O72.0,6.50E-07,167,8.542,8.542,20.815,90,90,120
LiCrSb(PO4)3,6,Li6.0Cr6.0Sb6.0P18.0O72.0,3.57E-10,167,8.38,8.38,21.46,90,90,120
LiAlSb(PO4)3,6,Li6.0Al6.0Sb6.0P18.0O72.0,3.17E-08,167,8.24,8.24,21.13,90,90,120
LiFeSb(PO4)3,6,Li6.0Fe6.0Sb6.0P18.0O72.0,1.37E-06,167,8.44,8.44,21.48,90,90,120
Li3(NH2)2I,4,Li12.0N8.0H16.0I4.0,1.00E-05,186,7.09109,7.09109,11.50958,90,90,120
Li3N,1,Li3.0N1.0,0.0005767,191,3.648,3.648,3.875,90,90,120
Li3P,2,Li6.0P2.0,0.000703,194,4.273,4.273,7.594,90,90,120
Li3N,2,Li6.0N2.0,0.0002085,194,3.552,3.552,6.311,90,90,120
Li6BaLa2Nb2O12,8,Li48.0Ba8.0La16.0Nb16.0O96.0,6.00E-06,199,12.86,12.86,12.86,90,90,90
Li5La3Nb2O12,8,Li40.0La24.0Nb16.0O96.0,8.00E-06,199,12.762,12.762,12.762,90,90,90
Li6SrLa2Ta2O12,8,Li48.0Sr8.0La16.0Ta16.0O96.0,7.00E-06,199,12.808,12.808,12.808,90,90,90
Li5.5La3Nb1.75In0.25O12 ,8,Li44.0La24.0Nb14.0In2.0O96.0,2.40E-05,199,12.821,12.821,12.821,90,90,90
Li5.5La2.75K0.25Nb2O12 ,8,Li44.0La22.0K2.0Nb16.0O96.0,1.06E-05,199,12.7937,12.7937,12.7937,90,90,90
(K0.1Li0.9)(SbO3),4,K0.4Li3.6Sb4.0O12.0,1.36E-08,201,9.681,9.681,9.681,90,90,90
Li8GeP4,8,Li64.0Ge8.0P32.0,1.80E-05,205,11.80203,11.80203,11.80203,90,90,90
Li8SiP4,8,Li64.0Si8.0P32.0,4.50E-05,205,11.70737,11.70737,11.70737,90,90,90
Li3AlN2,16,Li48.0Al16.0N32.0,5.00E-08,206,9.47,9.47,9.47,90,90,90
(Li0.61Mg0.39)(Li0.46Mg0.005Ti0.035)Ti1.5O4,8,Li8.56Mg3.16Ti12.28O32.0,6.56E-10,212,8.3792,8.3792,8.3792,90,90,90
(Li0.55Mg0.45)(Li0.445Mg0.055)Ti1.5O4,8,Li7.96Mg4.04Ti12.0O32.0,1.53E-11,212,8.3806,8.3806,8.3806,90,90,90
Li6PO5Cl,4,Li24.0P4.0O20.0Cl4.0,1.00E-09,216,8.2971,8.2971,8.2971,90,90,90
Li2VCl4,4,Li8.0V4.0Cl16.0,6.95E-06,216,10.323,10.323,10.323,90,90,90
Li6PS5Cl0.25Br0.75,4,Li24.0P4.0S20.0Cl1.0Br3.0,0.00186,216,9.953,9.953,9.953,90,90,90
Li6PS5Cl,4,Li24.0P4.0S20.0Cl4.0,0.00205,216,9.898,9.898,9.898,90,90,90
Li6PS5Cl0.5Br0.5,4,Li24.0P4.0S20.0Cl2.0Br2.0,0.00333,216,9.952,9.952,9.952,90,90,90
Li6PS5Br,4,Li24.0P4.0S20.0Br4.0,0.00115,216,10.02,10.02,10.02,90,90,90
Li6PS5Br0.5I0.5,4,Li24.0P4.0S20.0Br2.0I2.0,2.62E-05,216,10.109,10.109,10.109,90,90,90
Li6PS5I,4,Li24.0P4.0S20.0I4.0,1.30E-06,216,10.181,10.181,10.181,90,90,90
Li6PS5Cl0.75Br0.25,4,Li24.0P4.0S20.0Cl3.0Br1.0,0.00226,216,9.8911,9.8911,9.8911,90,90,90
Li6PS5Br0.75I0.25,4,Li24.0P4.0S20.0Br3.0I1.0,0.000112,216,10.0336,10.0336,10.0336,90,90,90
Li6PS5Br0.25I0.75,4,Li24.0P4.0S20.0Br1.0I3.0,4.72E-06,216,10.1108,10.1108,10.1108,90,90,90
Li6PS5Br,4,Li24.0P4.0S20.0Br4.0,0.000701,216,9.9773,9.9773,9.9773,90,90,90
Li6.025P0.975Si0.025S5Br,4,Li24.1P3.9Si0.1S20.0Br4.0,0.000878,216,9.9819,9.9819,9.9819,90,90,90
Li6.05P0.95Si0.05S5Br,4,Li24.2P3.8Si0.2S20.0Br4.0,0.000437,216,9.9871,9.9871,9.9871,90,90,90
Li6.075P0.925Si0.075S5Br,4,Li24.3P3.7Si0.3S20.0Br4.0,0.000873,216,9.9938,9.9938,9.9938,90,90,90
Li6.1P0.95Si0.1S5Br,4,Li24.4P3.8Si0.4S20.0Br4.0,0.000799,216,10.0024,10.0024,10.0024,90,90,90
Li6.125P0.875Si0.125S5Br,4,Li24.5P3.5Si0.5S20.0Br4.0,0.000902,216,10.0098,10.0098,10.0098,90,90,90
Li6.175P0.825Si0.175S5Br,4,Li24.7P3.3Si0.7S20.0Br4.0,0.000931,216,10.0193,10.0193,10.0193,90,90,90
Li6.2P0.8Si0.2S5Br,4,Li24.8P3.2Si0.8S20.0Br4.0,0.00169,216,10.024,10.024,10.024,90,90,90
Li6.225P0.775Si0.225S5Br,4,Li24.9P3.1Si0.9S20.0Br4.0,0.00108,216,10.0315,10.0315,10.0315,90,90,90
Li6.25P0.75Si0.25S5Br,4,Li25.0P3.0Si1.0S20.0Br4.0,0.00141,216,10.0365,10.0365,10.0365,90,90,90
Li6.3P0.7Si0.3S5Br,4,Li25.2P2.8Si1.2S20.0Br4.0,0.00165,216,10.0521,10.0521,10.0521,90,90,90
Li6.35P0.65Si0.35S5Br,4,Li25.4P2.6Si1.4S20.0Br4.0,0.00234,216,10.0468,10.0468,10.0468,90,90,90
Li6.5P0.5Si0.5S5Br,4,Li26.0P2.0Si2.0S20.0Br4.0,0.00219,216,10.0521,10.0521,10.0521,90,90,90
Li7Ge3PS12,4,Li28.0Ge12.0P4.0S48.0,0.00011,216,9.80192,9.80192,9.80192,90,90,90
Li6PS5Cl,4,Li24.0P4.0S20.0Cl4.0,0.0013,216,9.8397,9.8397,9.8397,90,90,90
Li6PS5Br,4,Li24.0P4.0S20.0Br4.0,0.00277,216,9.988,9.988,9.988,90,90,90
Li6P(S4.9Se0.1)Br,4,Li24.0P4.0S19.6Se0.4Br4.0,0.0032,216,9.9902,9.9902,9.9902,90,90,90
Li6P(S4.8Se0.2)Br,4,Li24.0P4.0S19.2Se0.8Br4.0,0.00392,216,9.9946,9.9946,9.9946,90,90,90
Li6P(S4.7Se0.3)Br,4,Li24.0P4.0S18.8Se1.2Br4.0,0.00362,216,9.9974,9.9974,9.9974,90,90,90
Li6P(S4.6Se0.4)Br,4,Li24.0P4.0S18.4Se1.6Br4.0,0.00364,216,10.0079,10.0079,10.0079,90,90,90
Li6P(S4.5Se0.5)Br,4,Li24.0P4.0S18.0Se2.0Br4.0,0.00268,216,10.0176,10.0176,10.0176,90,90,90
Li6P(S4.4Se0.6)Br,4,Li24.0P4.0S17.6Se2.4Br4.0,0.00278,216,10.0259,10.0259,10.0259,90,90,90
Li6P(S4.3Se0.7)Br,4,Li24.0P4.0S17.2Se2.8Br4.0,0.00301,216,10.0265,10.0265,10.0265,90,90,90
Li6P(S4.2Se0.8)Br,4,Li24.0P4.0S16.8Se3.2Br4.0,0.00348,216,10.0332,10.0332,10.0332,90,90,90
Li6P(S4.1Se0.9)Br,4,Li24.0P4.0S16.4Se3.6Br4.0,0.00382,216,10.0418,10.0418,10.0418,90,90,90
Li6P(S4Se)Br,4,Li24.0P4.0S16.0Se4.0Br4.0,0.00361,216,10.0522,10.0522,10.0522,90,90,90
Li6PO5Cl,4,Li24.0P4.0O20.0Cl4.0,5.54E-10,216,8.2971,8.2971,8.2971,90,90,90
Li6PS5Br,4,Li24.0P4.0S20.0Br4.0,3.20E-05,216,9.98,9.98,9.98,90,90,90
Li6PS5Cl,4,Li24.0P4.0S20.0Cl4.0,3.30E-05,216,9.85,9.85,9.85,90,90,90
Li6PS5I,4,Li24.0P4.0S20.0I4.0,0.00022,216,10.142,10.142,10.142,90,90,90
Li6PS5I,4,Li24.0P4.0S20.0I4.0,1.74E-06,216,10.14516,10.14516,10.14516,90,90,90
Li6.1P0.90Ge0.1S5I,4,Li24.4P3.6Ge0.4S20.0I4.0,8.86E-06,216,10.16695,10.16695,10.16695,90,90,90
Li6.15P0.85Ge0.15S5I,4,Li24.6P3.4Ge0.6S20.0I4.0,3.93E-05,216,10.18054,10.18054,10.18054,90,90,90
Li6.2P0.8Ge0.2S5I,4,Li24.8P3.2Ge0.8S20.0I4.0,3.19E-05,216,10.18473,10.18473,10.18473,90,90,90
Li6.25P0.75Ge0.25S5I,4,Li25.0P3.0Ge1.0S20.0I4.0,0.00015,216,10.19307,10.19307,10.19307,90,90,90
Li6.3P0.7Ge0.3S5I,4,Li25.2P2.8Ge1.2S20.0I4.0,0.00065,216,10.20585,10.20585,10.20585,90,90,90
Li6.4P0.6Ge0.4S5I,4,Li25.6P2.4Ge1.6S20.0I4.0,0.0015,216,10.22972,10.22972,10.22972,90,90,90
